City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,hithadhoo,-0.6,73.0833,27.75,78,4,6.63,MV,1696025844
323,ancud,-41.8697,-73.8203,10.89,70,0,0.72,CL,1696025766
324,ust'-barguzin,53.45,108.9833,5.9,86,8,1.68,RU,1696026309
325,kambove,-10.8764,26.5969,23.15,46,61,0.6,CD,1696026309
326,codrington,-38.2667,141.9667,15.62,55,53,6.0,AU,1696025877
327,princeville,45.7668,-61.2985,14.88,87,0,0.0,CA,1696025846
328,dhuusamarreeb,5.535,46.3861,25.52,79,15,7.9,SO,1696026309
329,vikhorevka,56.1201,101.1636,7.77,92,100,2.19,RU,1696026309
330,kyren,51.6828,102.1408,4.9,71,82,1.28,RU,1696026310
331,gonabad,34.3529,58.6837,15.16,33,0,4.3,IR,1696026310
332,richards bay,-28.783,32.0377,22.08,81,0,3.21,ZA,1696026310
333,waycross,31.2136,-82.354,28.14,72,40,2.06,US,1696026143
334,machalpur,24.1333,76.3,23.56,60,33,1.77,IN,1696026311
335,constitucion,-35.3333,-72.4167,14.92,71,0,4.89,CL,1696026311
336,ust-nera,64.5667,143.2,-4.51,83,16,1.18,RU,1696025766
337,nikolayevsk-on-amure,53.1406,140.73,9.48,90,100,0.87,RU,1696026312
338,naze,28.3667,129.4833,25.02,85,22,0.48,JP,1696025540
339,daru,-9.0763,143.2092,25.23,83,92,7.92,PG,1696026313
340,fortuna,40.5982,-124.1573,18.7,86,75,0.0,US,1696026314
341,shaydon,40.6747,70.346,17.17,35,99,2.18,TJ,1696026314
342,kuytun,54.3419,101.5036,6.72,78,100,2.91,RU,1696026314
343,valle de la pascua,9.2155,-66.0073,31.6,52,82,0.17,VE,1696026314
344,karoi,-16.8099,29.6925,21.78,49,44,2.77,ZW,1696026315
345,kivioli,59.3531,26.9711,15.08,91,100,3.19,EE,1696026315
346,port saint john's,-31.6229,29.5448,22.14,64,24,3.22,ZA,1696026315
347,tougue,11.4667,-11.6,20.21,95,91,0.32,GN,1696025881
348,la ronge,55.1001,-105.2842,12.14,76,100,1.03,CA,1696025809
349,fangshan,39.6983,115.9925,14.85,48,0,2.43,CN,1696026316
350,coquimbo,-29.9533,-71.3436,13.85,88,75,5.14,CL,1696025596
